Cross_ID,Entry,WDR,HD,PM,Height
Parent,AGS2000,1.78666666666667,93.2368774420319,2.07488738095461,92.3748675828985
Parent,ARGA051160-14LE31,1.24904472967022,98.7252226913963,1.99134255430925,91.5218585555744
Parent,GA001138-8E36,1.76336498508424,98.1729897541709,1.51668545520558,99.5264312431483
Parent,GA00190-7A14,1.43567410148211,96.8012735181623,1.69550429048891,93.6697910960077
Parent,GA05450-EL52,1.77749572157584,92.9105391937933,1.88055975763488,85.8030309040178
Parent,GA06493-13LE6,1.29812433646502,100.647480609332,0.843479335878584,90.8872724892793
Parent,HILLIARD,1.11262689068965,98.5967453952713,1.26352340571668,88.8980601874786
Parent,LA09264C-P2,2.2194652913377,89.7308746647549,1.23889825460358,84.9898545614196
Parent,MPV57,1.12230029898954,100.719124463988,1.53784550051574,88.4144589848501
Parent,NC08-23383,1.29738893765758,98.4956095311445,1.45523191799294,82.454459844432
Parent,NC8248-1,1.92666666666667,89.9401126219812,1.35709345104342,86.8297521459895
Parent,SS8641,1.56337927215112,97.0395035779557,0.925552291501111,90.3440700349063
Parent,TX12D4896,1.74666666666667,96.4008848335217,2.29504054277815,88.4749664923151
UX1989,UX1989-1,1.53635374848762,96.2954433389943,1.93151026308392,99.2149591457845
UX1989,UX1989-10,1.53635374848762,94.7450218428524,1.40108108695092,90.9920997390069
UX1989,UX1989-100,1.99206740842265,96.8168141527136,2.29568906902037,98.2033660841967
UX1989,UX1989-102,1.59206740842265,95.10357031829,3.00997478330608,95.3506390968879
UX1989,UX1989-103,1.99206740842265,92.6231003531629,1.58140335473465,92.583764938336
UX1989,UX1989-104,1.59206740842265,94.3941255076177,1.45884174024331,80.9477279145294
UX1989,UX1989-106,1.03782621015775,98.639082539753,1.58140335473465,92.141567454826
UX1989,UX1989-107,1.59206740842265,92.1568871404414,2.29568906902037,83.0816742365326
UX1989,UX1989-108,1.39206740842265,95.1646787582531,3.00997478330608,86.8714894801196
UX1989,UX1989-109,1.39206740842265,97.7797264783532,2.29568906902037,90.5682072281331
UX1989,UX1989-110,2.19206740842265,92.2636684133307,1.58140335473465,89.2373749209103
UX1989,UX1989-111,1.79206740842265,96.2243389093295,0.942767018541892,87.3350335655079
UX1989,UX1989-112,1.59206740842265,96.1073158311589,3.00997478330608,89.5059160192421
UX1989,UX1989-113,2.19206740842265,97.7793046837576,1.74111230901631,91.3291666555946
UX1989,UX1989-114,1.99206740842265,92.6146365846947,0.867117640448939,86.596366111982
UX1989,UX1989-115,1.39206740842265,97.3905775012257,1.06131364381623,89.8935766311395
UX1989,UX1989-116,1.99206740842265,93.2501897639983,0.214704894406681,81.0798830853879
UX1989,UX1989-117,1.99206740842265,94.7424177671173,1.58140335473465,91.4853478497891
UX1989,UX1989-118,2.19206740842265,93.1548056598776,3.00997478330608,85.7139456273494
UX1989,UX1989-119,2.39206740842265,89.0958860950224,0.633139096552306,86.5960999249878
UX1989,UX1989-12,1.93635374848762,94.5198680001972,1.13378942966259,89.0694501025779
UX1989,UX1989-122,2.19206740842265,93.1017986697438,0.867117640448939,85.5433133562982
UX1989,UX1989-123,1.99206740842265,93.6653487338984,3.00997478330608,96.9672060578539
UX1989,UX1989-125,1.59206740842265,101.007592712398,0.21470489440668,91.0712637920404
UX1989,UX1989-126,1.99206740842265,91.0702096303054,0.214704894406681,90.3378237164246
UX1989,UX1989-128,2.19206740842265,92.9621376677958,0.633139096552306,91.3648294682708
UX1989,UX1989-129,1.99206740842265,93.8777835286432,0.214704894406681,92.5184265406536
